contig	uniprotID	entry_name	gene
c870825_g1_i1	P00750	TPA_HUMAN	Plat
c973485_g1_i2	Q91448	SYUA_SERCA	Snca
c1012056_g1_i1	P40220	RABP1_CHICK	Crabp1
c1032786_g1_i2	Q5TA89	HES5_HUMAN	Hes5
c1040713_g1_i4	O00115	DNS2A_HUMAN	Dnase2
c1041318_g1_i1	P18871	ADA2A_PIG	Adra2a
c1042198_g1_i2	Q6U7I1	UBP7_CHICK	Usp7
c1042369_g2_i2	A1L4H1	SRCRL_HUMAN	Ssc5d
c1047789_g1_i1	P19382	SNAI1_XENLA	Snai1
c1048742_g2_i2	Q6PAF4	NSE1_XENLA	Nsmce1
c1049148_g1_i2	P15882	CHIN_HUMAN	Chn1
c1049525_g1_i2	Q6S5L8	SHC4_HUMAN	Shc4
c1049812_g1_i2	Q9GLF3	CLC5A_PIG	Clec5a
c1051007_g1_i1	Q92529	SHC3_HUMAN	Shc3
c1051215_g2_i2	Q8IUH2	CREG2_HUMAN	Creg2
c1052840_g1_i1	Q9BY12	SCAPE_HUMAN	Scaper
c1053229_g2_i3	P60051	UBP14_PANTR	Usp14
c1056218_g1_i2	Q28EN2	SPCS_XENTR	Sepsecs
c1056243_g2_i1	Q9JHI0	MMP19_MOUSE	Mmp19
c1056925_g1_i2	P14384	CBPM_HUMAN	Cpm
c1057251_g1_i2	P02701	AVID_CHICK	Avd
c1057496_g2_i1	O60381	HBP1_HUMAN	Hbp1
c1057536_g3_i1	O95405	ZFYV9_HUMAN	Zfyve9
c1057594_g2_i1	Q9H8E8	CSR2B_HUMAN	Kat14
c1057608_g1_i1	Q6MFZ5	TRI39_RAT	Trim39
c1058351_g1_i2	P20132	SDHL_HUMAN	Sds
c1058593_g2_i1	Q9NX52	RHBL2_HUMAN	Rhbdl2
c1058986_g1_i3	Q80UK0	SESD1_MOUSE	Sestd1
c1059166_g4_i1	B2GU58	KIF11_XENTR	Kif11
c1059585_g1_i1	Q7Z5P4	DHB13_HUMAN	Hsd17b13
c1059626_g1_i2	Q9CYU6	WDR85_MOUSE	NA
c1059906_g3_i4	Q9NYU1	UGGG2_HUMAN	Uggt2
c1060092_g2_i2	Q5PQR5	IMP4_RAT	Imp4
c1060344_g1_i1	O35094	TIM44_RAT	Timm44
c1060498_g3_i1	Q96IY1	NSL1_HUMAN	Nsl1
c1060498_g3_i3	Q96IY1	NSL1_HUMAN	Nsl1
c1060650_g1_i1	P18625	FOSL2_CHICK	Fosl2
c1060854_g3_i1	Q5XHH8	COF2_XENLA	Cfl2
c1061076_g2_i4	Q148G2	G6PC3_BOVIN	G6pc3
c1061445_g1_i1	Q13231	CHIT1_HUMAN	Chit1
c1061716_g1_i2	Q86TI2	DPP9_HUMAN	Dpp9
c1061968_g1_i2	Q8R054	SRPX2_MOUSE	Srpx2
c1062028_g1_i1	Q9UHP9	SMPX_HUMAN	Smpx
c1062608_g4_i2	O94776	MTA2_HUMAN	Mta2
c1062775_g1_i5	Q5T3F8	TM63B_HUMAN	NA
c1063403_g1_i1	Q16696	CP2AD_HUMAN	Cyp2a13
c1063599_g1_i2	Q0VA20	SLAIL_XENTR	NA
c1063613_g1_i1	Q02988	LECA_PLEWA	Lec
c1063644_g1_i2	P23768	GAT1B_XENLA	Gata1-B
c1064251_g2_i3	P78364	PHC1_HUMAN	Phc1
c1064349_g1_i1	Q8NEL9	DDHD1_HUMAN	Ddhd1
c1064460_g1_i1	Q5EA62	FBLN5_BOVIN	Fbln5
